plant name,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
Guava,2949687.5,7581.747921,2991,1329,2.250564334,1.347613603,19.48779372,87.32689713,105.0785433,89.76370354,55.62934619,46.6587036,66.08087497,88.15362088,0.983318825,0.268706504,11.54019741
Guava,2032880,6466.163013,2480,1110,2.234234234,1.354137972,20.56750231,164.1539078,168.8249246,149.3513938,54.30941733,47.35145907,76.22099905,73.81626338,0.986511275,0.254522635,11.81646251
Guava,75046,1824.038665,325,507,0.641025641,2.195653333,44.33436892,172.873952,175.6863918,147.5172331,31.06916562,28.79347267,67.84308557,16.98200608,0.992259934,0.404344417,10.53197782
Guava,4913999,9394.510338,3186,1958,1.627170582,1.269472786,17.9602854,147.672197,150.1901868,125.9035933,53.96748104,50.7636693,73.64182078,9.956371167,0.998303192,0.444011706,10.71062252
Guava,180,57.65685403,10,22,0.454545455,1.222222222,18.46840454,152.6499348,157.3439873,132.0918103,39.32245608,34.43493119,66.22371172,46.99158028,0.984470401,0.306650523,11.42093954
Guava,2127243.5,6576.679825,2754,1073,2.566635601,1.389141394,20.3327534,27.99322877,33.64916714,15.05804333,50.09146452,57.21218718,37.35202692,21.75439837,0.997842247,0.811714451,3.924465498
Flower,2525927.5,7561.075922,3226,1207,2.672742336,1.541525638,22.63321853,100.8905286,113.7317121,105.3803376,58.74611877,59.04297526,68.51587116,123.855602,0.982649007,0.253993271,11.55846408
Flower,4180.5,423.7228693,45,192,0.234375,2.066738428,42.94727185,144.4383691,140.6415563,129.6040249,60.4126321,59.56041065,73.72561046,19.59650407,0.997337709,0.450823393,10.77618119
Flower,2409718.5,7520.683999,1242,3063,0.405484819,1.578709712,23.4719067,154.7877216,149.5988,141.0319272,63.35640987,65.31279662,77.77367778,20.05636626,0.997658754,0.432552006,10.59199061
Flower,2620455,7469.706299,2999,1243,2.412711183,1.422560967,21.29268092,104.5909962,115.0153494,105.0498992,56.70510951,56.07878795,68.28759416,123.558268,0.98110856,0.246131424,11.78748113
Panyawan,3365423,7816.571641,2076,2423,0.856789104,1.494655501,18.15486262,115.3292713,124.3300781,106.7873797,67.51755979,51.39248198,76.22418368,93.76731169,0.986502952,0.202105211,12.09530012
Panyawan,3049241.5,7627.593932,2079,2308,0.900779896,1.573614947,19.0802169,144.6423615,151.6212349,129.6377021,69.67389888,61.40377278,87.25943877,10.55893728,0.998813491,0.433841812,10.50030248
Panyawan,4058020,8711.188954,2517,2304,1.092447917,1.429063435,18.69996032,105.9628996,123.1697021,96.10336795,67.22503382,51.5351649,78.68569613,140.4551674,0.97996313,0.16972348,12.54674299
Panyawan,3051653.5,7674.079216,2025,2304,0.87890625,1.528876067,19.29822367,102.8574066,118.4471811,101.5281027,61.6578942,48.68684005,71.42693991,111.4345393,0.981630471,0.18648114,12.15165552
Panyawan,2201438,6546.754193,1711,2018,0.847869177,1.568428454,19.46908814,102.4315647,118.3767604,108.383139,53.72888839,44.98194457,62.49840589,81.7116399,0.983316795,0.226988099,11.69543456
Panyawan,1283452.5,5023.758036,1305,1557,0.838150289,1.583140007,19.66426089,164.2625608,168.3831035,157.9140132,51.3678379,43.68125211,64.28702577,26.27981763,0.994343345,0.386738099,10.49624853
Sowa,1753159.5,7487.540992,2593,1071,2.421101774,1.5840561,31.97841959,186.0837839,186.4299771,178.3133258,70.5928571,68.18948721,81.46389165,41.43115862,0.995648885,0.333951182,10.92142084
Sowa,1814501.5,7424.64358,2778,1077,2.579387187,1.648885934,30.38042806,115.7704069,123.6920625,119.2702102,58.99429706,54.36182098,62.18391658,101.6465312,0.984154091,0.259235043,11.43425782
Sowa,1224096.5,5888.968279,2275,894,2.544742729,1.661511164,28.33105674,116.3403671,123.5527562,124.5610499,49.11103817,45.52725508,53.40703817,120.5243358,0.973285151,0.228751782,11.75167733
Sowa,2087554,7010.240349,2304,1478,1.558863329,1.631244988,23.54117295,165.925673,167.4378741,161.8906194,43.54797825,39.16739533,51.03476537,71.49932617,0.979257576,0.300298678,11.49332369
Sowa,0.5,3.414213538,2,2,1,8,23.31370817,164.2368431,166.1700563,143.6720492,26.18987881,25.5533675,57.51735942,60.87478732,0.960532551,0.323935723,11.03379167
